Relación con la actividad y situación de actividad/inactividad,Personas sin y con discapacidad,año,Total
Total,Total,2019-01-01T00:00:00Z,"30.419,3"
Total,Total,2018-01-01T00:00:00Z,"30.180,6"
Total,Total,2017-01-01T00:00:00Z,"30.050,4"
Total,Total,2016-01-01T00:00:00Z,"30.064,4"
Total,Total,2015-01-01T00:00:00Z,"30.174,5"
Total,Total,2014-01-01T00:00:00Z,"30.311,4"
Total,Personas sin discapacidad,2019-01-01T00:00:00Z,"28.542,4"
Total,Personas sin discapacidad,2018-01-01T00:00:00Z,"28.280,8"
Total,Personas sin discapacidad,2017-01-01T00:00:00Z,"28.189,9"
Total,Personas sin discapacidad,2016-01-01T00:00:00Z,"28.223,7"
Total,Personas sin discapacidad,2015-01-01T00:00:00Z,"28.399,7"
Total,Personas sin discapacidad,2014-01-01T00:00:00Z,"28.569,1"
Total,Personas con discapacidad,2019-01-01T00:00:00Z,"1.876,9"
Total,Personas con discapacidad,2018-01-01T00:00:00Z,"1.899,8"
Total,Personas con discapacidad,2017-01-01T00:00:00Z,"1.860,6"
Total,Personas con discapacidad,2016-01-01T00:00:00Z,"1.840,7"
Total,Personas con discapacidad,2015-01-01T00:00:00Z,"1.774,8"
Total,Personas con discapacidad,2014-01-01T00:00:00Z,"1.742,2"
Total,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"100,0"
Total,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"100,0"
Ocupados: Total,Total,2019-01-01T00:00:00Z,"19.567,9"
Ocupados: Total,Total,2018-01-01T00:00:00Z,"19.136,3"
Ocupados: Total,Total,2017-01-01T00:00:00Z,"18.648,5"
Ocupados: Total,Total,2016-01-01T00:00:00Z,"18.182,7"
Ocupados: Total,Total,2015-01-01T00:00:00Z,"17.717,5"
Ocupados: Total,Total,2014-01-01T00:00:00Z,"17.210,5"
Ocupados: Total,Personas sin discapacidad,2019-01-01T00:00:00Z,"19.082,0"
