Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
"1461:""2020-03-19T11:31:58Z,2020-03-19T11:25:45Z,#FelizDiaDelPadre,http://twitter.com/search?q=%23FelizDiaDelPadre,%23FelizDiaDelPadre,12880
1468:""2020-03-19T11:31:58Z",2020-03-19T11:25:45Z,#FelicidadesPapá,http://twitter.com/search?q=%23FelicidadesPap%C3%A1,%23FelicidadesPap%C3%A1,
"12668:""2020-03-28T16:13:26Z,2020-03-28T16:08:08Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,28660
12671:""2020-03-28T16:13:26Z",2020-03-28T16:08:08Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,
"12772:""2020-03-28T18:15:28Z,2020-03-28T18:13:05Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,
12825:""2020-03-28T19:16:28Z",2020-03-28T19:13:21Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,
"12873:""2020-03-28T20:17:30Z,2020-03-28T20:13:18Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,11036
12925:""2020-03-28T21:18:30Z",2020-03-28T21:13:21Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,12995
"12980:""2020-03-28T22:19:30Z,2020-03-28T22:18:12Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,14990
13031:""2020-03-28T23:20:27Z",2020-03-28T23:13:09Z,Felicidades Amancio,http://twitter.com/search?q=%22Felicidades+Amancio%22,%22Felicidades+Amancio%22,16110
"20875:""2020-04-04T14:55:38Z,2020-04-04T14:52:08Z,Felipe González,http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22,%22Felipe+Gonz%C3%A1lez%22,16969
20899:""2020-04-04T14:55:38Z",2020-04-04T14:52:08Z,Felicidades Paloma,http://twitter.com/search?q=%22Felicidades+Paloma%22,%22Felicidades+Paloma%22,
"29153:""2020-04-11T16:36:29Z,2020-04-11T16:32:14Z,Felicidades Jesús,http://twitter.com/search?q=%22Felicidades+Jes%C3%BAs%22,%22Felicidades+Jes%C3%BAs%22,
29213:""2020-04-11T17:37:26Z",2020-04-11T17:32:13Z,Felicidades Jesús,http://twitter.com/search?q=%22Felicidades+Jes%C3%BAs%22,%22Felicidades+Jes%C3%BAs%22,
"31375:""2020-04-13T14:19:10Z,2020-04-13T14:18:30Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,23739
31435:""2020-04-13T15:20:08Z",2020-04-13T15:13:32Z,Felicidades Patri,http://twitter.com/search?q=%22Felicidades+Patri%22,%22Felicidades+Patri%22,
"31484:""2020-04-13T16:21:07Z,2020-04-13T16:18:39Z,Felicidades Patri,http://twitter.com/search?q=%22Felicidades+Patri%22,%22Felicidades+Patri%22,
31527:""2020-04-13T17:22:05Z",2020-04-13T17:14:02Z,Felicidades Patri,http://twitter.com/search?q=%22Felicidades+Patri%22,%22Felicidades+Patri%22,
"31579:""2020-04-13T18:23:04Z,2020-04-13T18:14:12Z,Felicidades Patri,http://twitter.com/search?q=%22Felicidades+Patri%22,%22Felicidades+Patri%22,
31632:""2020-04-13T19:24:03Z",2020-04-13T19:17:14Z,Felicidades Patri,http://twitter.com/search?q=%22Felicidades+Patri%22,%22Felicidades+Patri%22,
"31684:""2020-04-13T20:25:01Z,2020-04-13T20:17:18Z,Felipe V,http://twitter.com/search?q=%22Felipe+V%22,%22Felipe+V%22,
31687:""2020-04-13T20:25:01Z",2020-04-13T20:17:18Z,Felicidades Patri,http://twitter.com/search?q=%22Felicidades+Patri%22,%22Felicidades+Patri%22,
"31735:""2020-04-13T21:25:59Z,2020-04-13T21:17:17Z,Felipe V,http://twitter.com/search?q=%22Felipe+V%22,%22Felipe+V%22,
31741:""2020-04-13T21:25:59Z",2020-04-13T21:17:17Z,Felicidades Patri,http://twitter.com/search?q=%22Felicidades+Patri%22,%22Felicidades+Patri%22,
"32465:""2020-04-14T12:39:54Z,2020-04-14T12:34:09Z,Feliz 14,http://twitter.com/search?q=%22Feliz+14%22,%22Feliz+14%22,
32488:""2020-04-14T12:39:54Z",2020-04-14T12:34:09Z,Felicidades Presidente,http://twitter.com/search?q=%22Felicidades+Presidente%22,%22Felicidades+Presidente%22,
"36047:""2020-04-17T13:49:45Z,2020-04-17T13:47:04Z,Felicidades Alcalde,http://twitter.com/search?q=%22Felicidades+Alcalde%22,%22Felicidades+Alcalde%22,
36103:""2020-04-17T14:50:55Z",2020-04-17T14:47:10Z,Felicidades Alcalde,http://twitter.com/search?q=%22Felicidades+Alcalde%22,%22Felicidades+Alcalde%22,
