Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
"660:""2020-03-18T20:11:25Z,2020-03-18T20:08:03Z,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,%22Feliz+Navidad%22,
706:""2020-03-18T20:29:34Z",2020-03-18T20:23:02Z,#FelipeVI,http://twitter.com/search?q=%23FelipeVI,%23FelipeVI,
"710:""2020-03-18T20:29:34Z,2020-03-18T20:23:02Z,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,%22Feliz+Navidad%22,
753:""2020-03-18T20:41:49Z",2020-03-18T20:38:03Z,#FelipeVI,http://twitter.com/search?q=%23FelipeVI,%23FelipeVI,
"760:""2020-03-18T20:41:49Z,2020-03-18T20:38:03Z,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,%22Feliz+Navidad%22,
799:""2020-03-18T21:29:45Z",2020-03-18T21:25:09Z,Rey Felipe VI,http://twitter.com/search?q=%22Rey+Felipe+VI%22,%22Rey+Felipe+VI%22,10123
"895:""2020-03-18T23:30:05Z,2020-03-18T23:25:10Z,Feliz Navidad,http://twitter.com/search?q=%22Feliz+Navidad%22,%22Feliz+Navidad%22,
905:""2020-03-18T23:30:05Z",2020-03-18T23:25:10Z,#FelipeVI,http://twitter.com/search?q=%23FelipeVI,%23FelipeVI,
"1026:""2020-03-19T02:30:35Z,2020-03-19T02:22:59Z,#Felices23Raoul,http://twitter.com/search?q=%23Felices23Raoul,%23Felices23Raoul,
1046:""2020-03-19T02:30:35Z",2020-03-19T02:22:59Z,Felipe Melo,http://twitter.com/search?q=%22Felipe+Melo%22,%22Felipe+Melo%22,17569
"2803:""2020-03-20T10:36:05Z,2020-03-20T10:26:53Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
2824:""2020-03-20T10:36:05Z",2020-03-20T10:26:53Z,Felipe de Borbón y Grecia,http://twitter.com/search?q=%22Felipe+de+Borb%C3%B3n+y+Grecia%22,%22Felipe+de+Borb%C3%B3n+y+Grecia%22,
"10187:""2020-03-26T13:23:15Z,2020-03-26T13:17:22Z,Felices 94,http://twitter.com/search?q=%22Felices+94%22,%22Felices+94%22,
10191:""2020-03-26T13:23:15Z",2020-03-26T13:17:22Z,El Rey Felipe VI,http://twitter.com/search?q=%22El+Rey+Felipe+VI%22,%22El+Rey+Felipe+VI%22,
"10274:""2020-03-26T15:25:11Z,2020-03-26T15:19:08Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,25966
10295:""2020-03-26T15:25:11Z",2020-03-26T15:19:08Z,El Rey Felipe VI,http://twitter.com/search?q=%22El+Rey+Felipe+VI%22,%22El+Rey+Felipe+VI%22,
"17346:""2020-04-01T14:44:39Z,2020-04-01T14:37:47Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,31484
17553:""2020-04-01T18:48:39Z",2020-04-01T18:45:06Z,#FelipeVIFarsante,http://twitter.com/search?q=%23FelipeVIFarsante,%23FelipeVIFarsante,
"17599:""2020-04-01T19:49:43Z,2020-04-01T19:47:24Z,#FelipeVIFarsante,http://twitter.com/search?q=%23FelipeVIFarsante,%23FelipeVIFarsante,
17648:""2020-04-01T20:50:43Z",2020-04-01T20:47:24Z,#FelipeVIFarsante,http://twitter.com/search?q=%23FelipeVIFarsante,%23FelipeVIFarsante,
"18493:""2020-04-02T14:08:45Z,2020-04-02T14:04:05Z,Don Felipe,http://twitter.com/search?q=%22Don+Felipe%22,%22Don+Felipe%22,
18588:""2020-04-02T16:10:44Z",2020-04-02T16:05:53Z,Don Felipe,http://twitter.com/search?q=%22Don+Felipe%22,%22Don+Felipe%22,
