Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
"226:""2020-03-18T13:25:27Z,2020-03-18T13:22:22Z,Feliz 101,http://twitter.com/search?q=%22Feliz+101%22,%22Feliz+101%22,
284:""2020-03-18T14:10:51Z",2020-03-18T14:09:28Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,19623
"1062:""2020-03-19T02:30:35Z,2020-03-19T02:22:59Z,#FelizDiaDelPadre,http://twitter.com/search?q=%23FelizDiaDelPadre,%23FelizDiaDelPadre,
1074:""2020-03-19T02:30:35Z",2020-03-19T02:22:59Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,55170
"1112:""2020-03-19T03:30:44Z,2020-03-19T03:28:14Z,#VivaElReyFelipeVI,http://twitter.com/search?q=%23VivaElReyFelipeVI,%23VivaElReyFelipeVI,
1121:""2020-03-19T03:30:44Z",2020-03-19T03:28:14Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,56071
"1156:""2020-03-19T04:30:54Z,2020-03-19T04:23:03Z,#VivaElReyFelipeVI,http://twitter.com/search?q=%23VivaElReyFelipeVI,%23VivaElReyFelipeVI,
1165:""2020-03-19T04:30:54Z",2020-03-19T04:23:03Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,56539
"1186:""2020-03-19T05:31:04Z,2020-03-19T05:22:59Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,81545
1209:""2020-03-19T05:31:04Z",2020-03-19T05:22:59Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,56789
"1236:""2020-03-19T06:31:13Z,2020-03-19T06:22:57Z,Felipe VI,http://twitter.com/search?q=%22Felipe+VI%22,%22Felipe+VI%22,81851
1257:""2020-03-19T06:31:13Z",2020-03-19T06:22:57Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,56668
"1258:""2020-03-19T06:31:13Z,2020-03-19T06:22:57Z,#Felices23Raoul,http://twitter.com/search?q=%23Felices23Raoul,%23Felices23Raoul,
1275:""2020-03-19T07:31:22Z",2020-03-19T07:24:03Z,#FelizJueves,http://twitter.com/search?q=%23FelizJueves,%23FelizJueves,
"1787:""2020-03-19T17:32:56Z,2020-03-19T17:28:34Z,#FelicidadesPapá,http://twitter.com/search?q=%23FelicidadesPap%C3%A1,%23FelicidadesPap%C3%A1,
2452:""2020-03-20T07:35:05Z",2020-03-20T07:31:46Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,%23FelizViernesATodos,
"2502:""2020-03-20T07:44:43Z,2020-03-20T07:36:47Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
2503:""2020-03-20T07:44:43Z",2020-03-20T07:36:47Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,%23FelizViernesATodos,
"2527:""2020-03-20T07:44:43Z,2020-03-20T07:36:47Z,#FelizDiaDelPadre,http://twitter.com/search?q=%23FelizDiaDelPadre,%23FelizDiaDelPadre,36772
2551:""2020-03-20T07:47:53Z",2020-03-20T07:41:46Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,%23FelizViernesATodos,
"2629:""2020-03-20T08:14:16Z,2020-03-20T08:11:48Z,#FelizDiaDelPadre,http://twitter.com/search?q=%23FelizDiaDelPadre,%23FelizDiaDelPadre,34667
2652:""2020-03-20T08:35:22Z",2020-03-20T08:31:48Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,%23FelizViernesATodos,
"2876:""2020-03-20T11:12:28Z,2020-03-20T11:06:57Z,Felipe de Borbón y Grecia,http://twitter.com/search?q=%22Felipe+de+Borb%C3%B3n+y+Grecia%22,%22Felipe+de+Borb%C3%B3n+y+Grecia%22,
2902:""2020-03-20T11:36:36Z",2020-03-20T11:28:25Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,%23FelizViernesATodos,
"3137:""2020-03-20T15:38:59Z,2020-03-20T15:33:48Z,#DíaDeLaFelicidad,http://twitter.com/search?q=%23D%C3%ADaDeLaFelicidad,%23D%C3%ADaDeLaFelicidad,
3154:""2020-03-20T16:39:36Z",2020-03-20T16:36:21Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,%23FelizViernesATodos,11011
"3852:""2020-03-21T06:48:03Z,2020-03-21T06:46:48Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,%23FelizS%C3%A1bado,
3901:""2020-03-21T07:48:33Z",2020-03-21T07:41:49Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,%23FelizS%C3%A1bado,
"3951:""2020-03-21T08:49:03Z,2020-03-21T08:46:51Z,#FelizSábado,http://twitter.com/search?q=%23FelizS%C3%A1bado,%23FelizS%C3%A1bado,
3992:""2020-03-21T08:49:03Z",2020-03-21T08:46:51Z,#FelizViernesATodos,http://twitter.com/search?q=%23FelizViernesATodos,%23FelizViernesATodos,23599
"4000:""2020-03-21T08:49:03Z,2020-03-21T08:46:51Z,#FelizFinde,http://twitter.com/search?q=%23FelizFinde,%23FelizFinde,
4002:""2020-03-21T09:49:34Z",2020-03-21T09:46:53Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
"4062:""2020-03-21T10:50:05Z,2020-03-21T10:46:54Z,Feliz Sábado,http://twitter.com/search?q=%22Feliz+S%C3%A1bado%22,%22Feliz+S%C3%A1bado%22,
4104:""2020-03-21T11:50:38Z",2020-03-21T11:41:55Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,
"4112:""2020-03-21T11:50:38Z,2020-03-21T11:41:55Z,Feliz Día de la Poesía,http://twitter.com/search?q=%22Feliz+D%C3%ADa+de+la+Poes%C3%ADa%22,%22Feliz+D%C3%ADa+de+la+Poes%C3%ADa%22,
4147:""2020-03-21T12:51:11Z",2020-03-21T12:41:59Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,11801
"4324:""2020-03-21T16:53:26Z,2020-03-21T16:48:27Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,28056
4400:""2020-03-21T17:54:03Z",2020-03-21T17:48:26Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,31868
"5016:""2020-03-22T07:01:45Z,2020-03-22T06:58:00Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
5098:""2020-03-22T08:02:17Z",2020-03-22T07:59:07Z,#FelizSabado,http://twitter.com/search?q=%23FelizSabado,%23FelizSabado,56721
"5116:""2020-03-22T09:02:50Z,2020-03-22T08:59:08Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
5166:""2020-03-22T10:03:23Z",2020-03-22T09:59:10Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
"5216:""2020-03-22T11:03:57Z,2020-03-22T11:01:03Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,
5267:""2020-03-22T12:04:32Z",2020-03-22T12:01:09Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,10178
"5318:""2020-03-22T13:05:07Z,2020-03-22T13:01:20Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,13011
5368:""2020-03-22T14:05:50Z",2020-03-22T14:03:32Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,16937
"5419:""2020-03-22T15:06:32Z,2020-03-22T15:03:37Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,21802
5499:""2020-03-22T16:07:14Z",2020-03-22T16:03:42Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,27616
"6058:""2020-03-23T03:15:30Z,2020-03-23T03:13:13Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,64411
6101:""2020-03-23T04:16:05Z",2020-03-23T04:11:46Z,#FelizDomingo,http://twitter.com/search?q=%23FelizDomingo,%23FelizDomingo,65462
"6120:""2020-03-23T05:16:39Z,2020-03-23T05:11:44Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,
6166:""2020-03-23T06:17:12Z",2020-03-23T06:11:43Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,
"6216:""2020-03-23T07:17:44Z,2020-03-23T07:12:26Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,
6266:""2020-03-23T08:19:17Z",2020-03-23T08:12:27Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,
"6316:""2020-03-23T08:54:44Z,2020-03-23T08:52:27Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,
6366:""2020-03-23T09:55:19Z",2020-03-23T09:52:26Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,
"6416:""2020-03-23T10:55:59Z,2020-03-23T10:52:28Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,10500
6468:""2020-03-23T11:56:40Z",2020-03-23T11:52:31Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,13188
"6521:""2020-03-23T12:57:24Z,2020-03-23T12:52:37Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,16480
6572:""2020-03-23T13:58:07Z",2020-03-23T13:52:37Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,21087
"6622:""2020-03-23T14:58:54Z,2020-03-23T14:52:40Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,26281
7416:""2020-03-24T06:34:50Z",2020-03-24T06:28:00Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,
"7466:""2020-03-24T07:35:30Z,2020-03-24T07:28:01Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,
7516:""2020-03-24T08:36:08Z",2020-03-24T08:33:02Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,
"7548:""2020-03-24T08:36:08Z,2020-03-24T08:33:02Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,64483
7566:""2020-03-24T09:36:48Z",2020-03-24T09:28:04Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,
"7606:""2020-03-24T09:36:48Z,2020-03-24T09:28:04Z,#FelizLunes,http://twitter.com/search?q=%23FelizLunes,%23FelizLunes,62541
7617:""2020-03-24T10:37:35Z",2020-03-24T10:33:08Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,
"7668:""2020-03-24T11:38:23Z,2020-03-24T11:34:50Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,11330
7719:""2020-03-24T12:39:14Z",2020-03-24T12:34:53Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,14469
"7820:""2020-03-24T14:42:02Z,2020-03-24T14:38:45Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,22234
7869:""2020-03-24T15:43:00Z",2020-03-24T15:33:50Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,26046
"7965:""2020-03-24T16:43:53Z,2020-03-24T16:38:30Z,#FelizMartesATodos,http://twitter.com/search?q=%23FelizMartesATodos,%23FelizMartesATodos,
8616:""2020-03-25T06:55:45Z",2020-03-25T06:48:54Z,#FelizMiércoles,http://twitter.com/search?q=%23FelizMi%C3%A9rcoles,%23FelizMi%C3%A9rcoles,
"8666:""2020-03-25T07:56:31Z,2020-03-25T07:50:08Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,
8716:""2020-03-25T08:57:17Z",2020-03-25T08:50:09Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,
"8766:""2020-03-25T09:58:04Z,2020-03-25T09:50:10Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,
8866:""2020-03-25T11:59:43Z",2020-03-25T11:57:32Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,10776
"8915:""2020-03-25T11:59:43Z,2020-03-25T11:57:32Z,#FelizMartes,http://twitter.com/search?q=%23FelizMartes,%23FelizMartes,52079
8917:""2020-03-25T13:00:38Z",2020-03-25T12:57:39Z,#FelizMiercoles,http://twitter.com/search?q=%23FelizMiercoles,%23FelizMiercoles,14409
