Relación con la actividad y situación de actividad/inactividad,Personas sin y con discapacidad,año,Total
Inactivos: Estudiantes,Personas con discapacidad,2019-01-01T00:00:00Z,"43,8"
Inactivos: Estudiantes,Personas con discapacidad,2018-01-01T00:00:00Z,"45,2"
Inactivos: Estudiantes,Personas con discapacidad,2017-01-01T00:00:00Z,"33,9"
Inactivos: Estudiantes,Personas con discapacidad,2016-01-01T00:00:00Z,"32,5"
Inactivos: Estudiantes,Personas con discapacidad,2015-01-01T00:00:00Z,"29,6"
Inactivos: Estudiantes,Personas con discapacidad,2014-01-01T00:00:00Z,"24,5"
Inactivos: Jubilados,Personas con discapacidad,2019-01-01T00:00:00Z,"295,5"
Inactivos: Jubilados,Personas con discapacidad,2018-01-01T00:00:00Z,"289,2"
Inactivos: Jubilados,Personas con discapacidad,2017-01-01T00:00:00Z,"296,7"
Inactivos: Jubilados,Personas con discapacidad,2016-01-01T00:00:00Z,"301,0"
Inactivos: Jubilados,Personas con discapacidad,2015-01-01T00:00:00Z,"299,0"
Inactivos: Jubilados,Personas con discapacidad,2014-01-01T00:00:00Z,"283,8"
Inactivos: Labores del hogar,Personas con discapacidad,2019-01-01T00:00:00Z,"109,1"
Inactivos: Labores del hogar,Personas con discapacidad,2018-01-01T00:00:00Z,"113,2"
Inactivos: Labores del hogar,Personas con discapacidad,2017-01-01T00:00:00Z,"96,9"
Inactivos: Labores del hogar,Personas con discapacidad,2016-01-01T00:00:00Z,"104,2"
Inactivos: Labores del hogar,Personas con discapacidad,2015-01-01T00:00:00Z,"101,4"
Inactivos: Labores del hogar,Personas con discapacidad,2014-01-01T00:00:00Z,"101,8"
Inactivos: Incapacidad,Personas con discapacidad,2019-01-01T00:00:00Z,"757,8"
Inactivos: Incapacidad,Personas con discapacidad,2018-01-01T00:00:00Z,"761,4"
Inactivos: Incapacidad,Personas con discapacidad,2017-01-01T00:00:00Z,"752,6"
Inactivos: Incapacidad,Personas con discapacidad,2016-01-01T00:00:00Z,"732,0"
Inactivos: Incapacidad,Personas con discapacidad,2015-01-01T00:00:00Z,"720,7"
Inactivos: Incapacidad,Personas con discapacidad,2014-01-01T00:00:00Z,"724,9"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2019-01-01T00:00:00Z,"32,1"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2018-01-01T00:00:00Z,"36,2"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2017-01-01T00:00:00Z,"28,8"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2016-01-01T00:00:00Z,"23,8"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2015-01-01T00:00:00Z,"22,9"
Inactivos: Otra situación de inactividad,Personas con discapacidad,2014-01-01T00:00:00Z,"21,4"
