Relación con la actividad y situación de actividad/inactividad,Personas sin y con discapacidad,año,Total
Parados: Total,Personas con discapacidad,2019-01-01T00:00:00Z,"152,6"
Parados: Total,Personas con discapacidad,2018-01-01T00:00:00Z,"165,1"
Parados: Total,Personas con discapacidad,2017-01-01T00:00:00Z,"170,7"
Parados: Total,Personas con discapacidad,2016-01-01T00:00:00Z,"185,2"
Parados: Total,Personas con discapacidad,2015-01-01T00:00:00Z,"186,3"
Parados: Total,Personas con discapacidad,2014-01-01T00:00:00Z,"191,5"
Parados: Primer empleo,Personas con discapacidad,2019-01-01T00:00:00Z,"12,4"
Parados: Primer empleo,Personas con discapacidad,2018-01-01T00:00:00Z,"14,3"
Parados: Primer empleo,Personas con discapacidad,2017-01-01T00:00:00Z,"14,1"
Parados: Primer empleo,Personas con discapacidad,2016-01-01T00:00:00Z,"15,0"
Parados: Primer empleo,Personas con discapacidad,2015-01-01T00:00:00Z,"16,6"
Parados: Primer empleo,Personas con discapacidad,2014-01-01T00:00:00Z,"16,0"
Parados: Han trabajado antes,Personas con discapacidad,2019-01-01T00:00:00Z,"140,3"
Parados: Han trabajado antes,Personas con discapacidad,2018-01-01T00:00:00Z,"150,8"
Parados: Han trabajado antes,Personas con discapacidad,2017-01-01T00:00:00Z,"156,6"
Parados: Han trabajado antes,Personas con discapacidad,2016-01-01T00:00:00Z,"170,3"
Parados: Han trabajado antes,Personas con discapacidad,2015-01-01T00:00:00Z,"169,8"
Parados: Han trabajado antes,Personas con discapacidad,2014-01-01T00:00:00Z,"175,5"
