federaciones_deportivas_de_castilla_y_leon,grupo,apellidos,nombre,desestimacion
ATLETISMO,DEPORTISTA,ALEGRE FERNÁNDEZ,SERGIO,NO
ATLETISMO,DEPORTISTA,ALEGRE HERRERO,MENCÍA,NO
ATLETISMO,DEPORTISTA,ARANCÓN PÉREZ,MARIO,NO
ATLETISMO,DEPORTISTA,ARRANZ CABESTRERO,MARA,NO
ATLETISMO,DEPORTISTA,BRAVO GARCÍA,DIEGO,NO
ATLETISMO,DEPORTISTA,CISNEROS LLAMAZARES,MARÍA,NO
ATLETISMO,DEPORTISTA,DE ARRIBA LÓPEZ,ÁLVARO,NO
ATLETISMO,DEPORTISTA,DE MIGUEL RAMOS,HUGO,NO
ATLETISMO,DEPORTISTA,GARCÍA ALONSO,MARTA,NO
ATLETISMO,DEPORTISTA,GARCÍA DE DIEGO,LUCÍA,NO
ATLETISMO,DEPORTISTA,GARCÍA SANCHO,ÁNGELA,NO
ATLETISMO,DEPORTISTA,GONZÁLEZ LINARES,FIKADU,NO
ATLETISMO,DEPORTISTA,GUERRA POLO,JAVIER,NO
ATLETISMO,DEPORTISTA,GUTIÉRREZ FUENTE,ALEJANDRA,NO
ATLETISMO,DEPORTISTA,JIMÉNEZ HERNÁNDEZ,ANDREA,NO
ATLETISMO,DEPORTISTA,JUÁREZ NIETO,SERGIO,NO
ATLETISMO,DEPORTISTA,LÁZARO VELASCO,ALBA,NO
ATLETISMO,DEPORTISTA,LUGUEROS DÍAZ,NURIA,NO
ATLETISMO,DEPORTISTA,MACÍAS MORATA,OLGA,NO
ATLETISMO,DEPORTISTA,MARTÍN MARTÍN,LORENA,NO
ATLETISMO,DEPORTISTA,MARTÍNEZ MORENO,SAUL,NO
ATLETISMO,DEPORTISTA,MATILLA GUERRA,ÓSCAR,NO
ATLETISMO,DEPORTISTA,ORDÓÑEZ GAVELA,SAUL,NO
ATLETISMO,DEPORTISTA,PEÑA ALONSO,HELIA MARINA,NO
ATLETISMO,DEPORTISTA,PÉREZ MIGUEL,MARTA,NO
ATLETISMO,DEPORTISTA,REDONDO BLANCO,PAULA,NO
ATLETISMO,DEPORTISTA,REDONDO MANGA,JONÁS,NO
ATLETISMO,DEPORTISTA,RODRÍGUEZ BAYÓN,SERGIO,NO
ATLETISMO,DEPORTISTA,RODRÍGUEZ GARCÍA,NOELIA,NO
ATLETISMO,DEPORTISTA,RUIZ ORTIZ,ROBERTO,NO
ATLETISMO,DEPORTISTA,SAN PASTOR VICENTE,JOSÉ,NO
ATLETISMO,DEPORTISTA,SÁNCHEZ SÁNCHEZ,MIGUEL,NO
ATLETISMO,DEPORTISTA,SANTIDRIÁN RUIZ,EVA,NO
ATLETISMO,DEPORTISTA,SANZ ULLOA,LAURA,NO
ATLETISMO,DEPORTISTA,SINA DE LA FUENTE,DARÍO,NO
ATLETISMO,DEPORTISTA,VIANA FUENTE,DANIEL,NO
ATLETISMO,DEPORTISTA,VICENTE CENTENO,DAVID,NO
ATLETISMO,ENTRENADOR/A,ÁLVAREZ FURONES,BENJAMÍN,NO
ATLETISMO,ENTRENADOR/A,CABALLERO MERINO,ELENA,NO
ATLETISMO,ENTRENADOR/A,CABALLERO MERINO,FRANCISCO,NO
ATLETISMO,ENTRENADOR/A,COLORADO LUENGO,ROSA MARÍA YOLANDA,NO
ATLETISMO,ENTRENADOR/A,DE LA PARTE  DE LAS CUEVAS,SANTIAGO,NO
ATLETISMO,ENTRENADOR/A,DE MIGUEL RONCAL,MARCOS LUIS,NO
ATLETISMO,ENTRENADOR/A,DÍEZ CASARES,SEBASTIÁN,NO
ATLETISMO,ENTRENADOR/A,FUENTES MARTÍN,JUAN CARLOS,NO
ATLETISMO,ENTRENADOR/A,HERRERO VALENTÍN,JUAN,NO
ATLETISMO,ENTRENADOR/A,REGUERO RIBERA,URIEL,NO
ATLETISMO,ENTRENADOR/A,SAN JOSÉ LORZA,SERGIO,NO
ATLETISMO,ENTRENADOR/A,ZAPATA MARTÍNEZ,RAMÓN RAIMUNDO,NO
BALONMANO,DEPORTISTA,ÁLVAREZ TORRADO,ELBA,NO
BALONMANO,DEPORTISTA,BERGARA PRIETO,RAFAELA TAIDE,NO
BALONMANO,DEPORTISTA,CASARES MINGO,SERGIO,NO
BALONMANO,DEPORTISTA,CIFUENTES BERMEJO,CRISTINA,NO
BALONMANO,DEPORTISTA,CUADRADO SÁNCHEZ,ELENA,NO
BALONMANO,DEPORTISTA,DÍEZ MIGUEL,MIREIA,NO
BALONMANO,DEPORTISTA,FERNÁNDEZ ÁLVAREZ,ÁLVARO,NO
BALONMANO,DEPORTISTA,GARCÍA PASCUAL,MANUEL,NO
BALONMANO,DEPORTISTA,GARCÍA ROJAS,MARCOS,NO
BALONMANO,DEPORTISTA,GÓMEZ PRADOS,JAVIER,NO
BALONMANO,DEPORTISTA,HONRADO CRISTOBALENA,CARLOS,NO
BALONMANO,DEPORTISTA,LODOS GARCÍA,KEVIN,NO
BALONMANO,DEPORTISTA,MARTÍNEZ LLAMAZARES,ANTONIO,NO
BALONMANO,DEPORTISTA,MARUGÁN VILLAGRÁN,ÓSCAR,NO
BALONMANO,DEPORTISTA,MIGUELEZ GARCÍA,ANDRÉS,NO
BALONMANO,DEPORTISTA,MOLES LÓPEZ,SARA,NO
BALONMANO,DEPORTISTA,PESCADOR LUQUERO,ÁNGEL,NO
BALONMANO,DEPORTISTA,ROLDÁN FÉLIX,ALBERTO,NO
BALONMANO,DEPORTISTA,SANZ DE NICOLÁS,DARÍO,NO
BALONMANO,DEPORTISTA,SANZ LEDO,CARMEN,NO
BALONMANO,DEPORTISTA,TORÍO FERNÁNDEZ,SERGIO,NO
CICLISMO,DEPORTISTA,MARTÍN MARTÍN,ISABEL,NO
CICLISMO,DEPORTISTA,MARTÍN MARTÍN,SARA,NO
CICLISMO,DEPORTISTA,YUSTO SÁNCHEZ,SARA,NO
DEPORTE ADAPTADO,DEPORTISTA,BEEL QUINTANA,LIA,NO
DEPORTE ADAPTADO,DEPORTISTA,CAMPO BARBERO,JULIA,NO
DEPORTE ADAPTADO,DEPORTISTA,CATALINA ALONSO,JESÚS,NO
DEPORTE ADAPTADO,DEPORTISTA,CUBILLAS PARDO,DAVID,NO
DEPORTE ADAPTADO,DEPORTISTA,DE FRUTOS DE PABLOS,ÁLVARO,NO
DEPORTE ADAPTADO,DEPORTISTA,FERNÁNDEZ INFANTE,MARTA,NO
